# EGS HST Catalogue
# From https://archive.stsci.edu/hlsp/candels/egs-catalogs
RA,Dec
215.2956917,53.0597958
215.2133022,53.0029622
215.1894702,52.9861361
215.0484067,52.8867859
215.1880464,52.9850382
215.2413008,53.0224741
215.0160762,52.8638629
215.0215886,52.8678467
215.2205725,53.0080895
215.2630003,53.0374932
215.2114086,53.0016735
215.2482932,53.0275434
215.1257862,52.9402566
215.2004215,52.9939753
215.1689297,52.9715483
215.2740502,53.04492
215.1559479,52.9621879
215.2953979,53.0605116
215.223686,53.0103744
214.9529118,52.8192661
215.0206996,52.8653059
215.2096835,52.9998741
215.0736727,52.9043966
214.9574955,52.822419
215.2508262,53.0294662
215.2878052,53.0547529
214.9844954,52.8417407
215.0887684,52.9145236
215.0949808,52.9193522
215.2621395,53.0369816
215.0654831,52.8986351
215.166728,52.9704537
215.0626652,52.8971013
215.2993954,53.063335
215.0455239,52.8842613
214.9365359,52.8078153
215.1160965,52.9349058
215.1342784,52.9462774
215.1635758,52.9679715
214.9977148,52.8511281
215.060252,52.8954418
215.2125879,53.0028077
215.0719613,52.9038287
215.2781917,53.0488103
215.2621849,53.0365805
215.1091616,52.9299585
215.1115138,52.9316819
215.1130422,52.9328325
215.2604098,53.0347956
215.1881579,52.9855247
214.9230372,52.7983399
215.2432541,53.0233811
215.1044311,52.9257559
215.184081,52.9826121
215.0699627,52.9023322
215.1022517,52.9239142
215.2932129,53.0592868
215.2340907,53.0177474
215.031606,52.8751858
215.2280952,53.013473
215.2313319,53.0152402
215.2519986,53.0288574
215.2874691,53.0545215
215.0715488,52.9027435
214.9215033,52.7973317
214.9263852,52.800802
215.1352457,52.9436371
215.2869137,53.0550582
215.094491,52.9176326
215.1067056,52.9285148
215.093336,52.918838
215.0846252,52.9127627
215.0623222,52.8972362
215.1103487,52.9308806
215.0371153,52.8793118
215.2953743,53.0601602
215.0361391,52.8783959
215.1388787,52.9489487
215.0685407,52.9015774
215.2158698,53.0054736
214.974239,52.8331907
215.0891587,52.9147279
215.0669357,52.9006347
214.9044089,52.7854044
215.2344195,53.0184476
215.2402014,53.0210749
215.0899447,52.9157858
215.2191827,53.0076562
215.1304657,52.9444766
215.1518269,52.9604811
215.0841035,52.9128266
215.0913076,52.9179291
215.0125606,52.8623061
215.251858,53.030712
215.2766337,53.0467877
215.2099641,53.0013059
215.1694462,52.973031
215.2992047,53.0631463
215.0553411,52.8924754
215.1094471,52.9307381
215.1771998,52.9785228
215.2686653,53.0426722
215.2242607,53.0115808
214.9818543,52.8406264
215.2812919,53.0499043
215.2473842,53.0277557
215.2580934,53.03488
215.2789624,53.0498826
215.2407071,53.0230998
215.10794,52.9297521
215.1394118,52.952015
215.2300363,53.0156156
215.2467334,53.0267637
215.2762815,53.0466314
215.1806947,52.9810659
214.9410876,52.8115778
215.0699823,52.9030904
215.2171765,53.0045505
215.1306191,52.9457586
214.9607595,52.8257891
215.1486355,52.9582197
215.1510214,52.960291
215.1040104,52.9271367
